baby,NOUN
how,ADV
you,PRON
doing,VERB
know,VERB
i,PRON
m,VERB
gon,VERB
cut,VERB
right,ADV
to,ADP
the,DET
chase,VERB
some,DET
women,NOUN
were,VERB
made,VERB
but,CCONJ
me,PRON
myself,PRON
like,ADP
think,VERB
that,ADP
was,VERB
created,VERB
for,ADP
a,DET
special,ADJ
purpose,NOUN
what,NOUN
s,VERB
more,ADJ
than,ADP
feel,VERB
it,PRON
on,ADP
let,VERB
get,VERB
lost,VERB
don,VERB
t,NOUN
need,VERB
call,VERB
into,ADP
work,VERB
cause,ADP
re,VERB
boss,NOUN
real,ADJ
want,VERB
show,VERB
consider,VERB
lucky,ADJ
big,ADJ
deal,NOUN
why,ADV
well,INTJ
got,VERB
key,NOUN
my,ADJ
heart,NOUN
ain,VERB
d,VERB
rather,ADV
open,ADJ
body,NOUN
and,CCONJ
secrets,NOUN
didn,VERB
inside,ADP
no,DET
lie,VERB
too,ADV
wide,ADJ
strong,ADJ
won,VERB
fit,VERB
much,ADJ
tough,ADJ
he,PRON
talk,VERB
this,DET
can,VERB
back,ADV
ego,NOUN
such,ADJ
huge,ADJ
love,NOUN
his,ADJ
walk,VERB
usually,ADV
humble,ADJ
now,ADV
choose,VERB
leave,VERB
with,ADP
or,CCONJ
could,VERB
have,VERB
blues,NOUN
arrogant,ADJ
confident,ADJ
decide,VERB
when,ADV
find,VERB
working,VERB
damn,ADV
killing,VERB
them,PRON
legs,NOUN
better,ADJ
yet,ADV
thighs,NOUN
matter,ADV
fact,NOUN
smile,NOUN
maybe,ADV
eyes,NOUN
boy,NOUN
site,NOUN
see,VERB
kind,NOUN
of,ADP
something,NOUN
so,ADV
must,VERB
admit,VERB
every,DET
reason,NOUN
bitch,NOUN
if,ADP
beat,NOUN
sing,VERB
piano,NOUN
everything,NOUN
easy,ADJ
seem,VERB
sure,ADJ
still,ADV
your,ADJ
ways,NOUN
do,VERB
nt,ADV
not,ADV
they,PRON
then,ADV
things,NOUN
come,VERB
along,ADP
our,ADJ
way,NOUN
though,ADP
we,PRON
truly,ADV
ask,VERB
seems,VERB
as,ADP
linger,VERB
delight,NOUN
bring,VERB
just,ADV
seemed,VERB
trying,VERB
really,ADV
say,VERB
even,ADV
through,ADP
darkest,ADJ
day,NOUN
might,VERB
feeling,VERB
strange,ADJ
about,ADP
words,NOUN
slipped,VERB
out,ADP
may,VERB
coming,VERB
from,ADP
bore,NOUN
all,DET
time,NOUN
hold,VERB
in,ADP
courage,NOUN
speak,VERB
ll,VERB
listen,VERB
tell,VERB
is,VERB
there,ADV
wrong,ADJ
fastened,VERB
sounds,VERB
be,VERB
melody,NOUN
are,VERB
will,VERB
alright,INTJ
sleep,NOUN
same,ADJ
exactly,ADV
hear,VERB
ve,VERB
felt,VERB
new,ADJ
eversince,NOUN
acted,VERB
go,VERB
would,VERB
mind,NOUN
telling,VERB
stay,VERB
days,NOUN
by,ADP
search,VERB
tenderness,NOUN
isn,VERB
hard,ADJ
live,VERB
look,VERB
truthfulness,NOUN
blind,ADJ
always,ADV
give,VERB
chorus,NOUN
honesty,NOUN
lonely,ADJ
word,NOUN
everyone,NOUN
untrue,ADJ
hardly,ADV
ever,ADV
heard,VERB
mostly,ADV
someone,NOUN
sympathize,VERB
wear,VERB
sleeve,NOUN
pretty,ADV
face,NOUN
lies,NOUN
believe,VERB
lover,NOUN
friend,NOUN
security,NOUN
until,ADP
bitter,ADJ
end,NOUN
anyone,NOUN
comfort,NOUN
promises,NOUN
again,ADV
deep,ADV
concerned,ADJ
nothin,NOUN
while,ADP
gone,VERB
sincerity,NOUN
where,ADV
else,ADV
turn,VERB
one,NUM
depend,VERB
upon,ADP
oh,INTJ
wrote,VERB
book,NOUN
stand,VERB
title,NOUN
life,NOUN
superman,NOUN
make,VERB
count,VERB
privilege,NOUN
ideal,ADJ
honored,VERB
everyday,ADV
rock,NOUN
truth,NOUN
wanna,ADV
kiss,VERB
ya,PRON
please,INTJ
touch,VERB
night,NOUN
reward,NOUN
try,VERB
run,VERB
fingers,NOUN
before,ADP
timeless,NOUN
sugar,NOUN
keeps,VERB
going,VERB
keep,VERB
lovin,NOUN
best,ADJ
whole,ADJ
little,ADJ
piece,NOUN
minimum,ADJ
talking,VERB
single,ADJ
wish,VERB
dream,NOUN
options,NOUN
worth,ADJ
thank,VERB
us,PRON
fine,ADJ
sand,NOUN
cry,VERB
joy,NOUN
pain,NOUN
people,NOUN
party,NOUN
popping,VERB
sitting,VERB
around,ADP
looking,VERB
at,ADP
started,VERB
hook,NOUN
stuff,NOUN
freshin,VERB
ruff,NOUN
start,VERB
stop,VERB
am,VERB
black,ADJ
culture,NOUN
church,NOUN
bells,NOUN
ringing,VERB
choir,NOUN
singing,VERB
saw,VERB
down,ADV
aisle,NOUN
her,ADJ
finger,NOUN
placed,VERB
ring,NOUN
oooh,NOUN
holding,VERB
hands,NOUN
she,PRON
standing,VERB
man,NOUN
promise,VERB
til,ADV
death,NOUN
part,NOUN
each,DET
losing,VERB
wedding,NOUN
over,ADP
rice,NOUN
has,VERB
been,VERB
thrown,VERB
their,ADJ
heads,NOUN
begun,VERB
mine,PRON
ending,VERB
ooh,INTJ
another,DET
spend,VERB
waitin,NOUN
staring,VERB
wishin,ADJ
warm,ADJ
sun,NOUN
awake,ADJ
heaven,PROPN
sakes,NOUN
ready,ADJ
never,ADV
waiting,VERB
adore,VERB
tight,ADV
once,ADV
only,ADV
lifetime,NOUN
living,VERB
place,NOUN
sanging,VERB
name,NOUN
hoping,VERB
fade,VERB
away,ADV
waste,NOUN
needin,ADJ
seeing,VERB
makes,VERB
clear,ADJ
6,NUM
o,NOUN
clock,NOUN
seconds,NOUN
hours,NOUN
sit,VERB
here,ADV
watch,VERB
tick,NOUN
thought,VERB
longing,NOUN
ca,VERB
untill,ADJ
nothing,NOUN
patiently,ADV
wait,VERB
12,NUM
crowd,NOUN
getting,VERB
thin,ADJ
okay,ADJ
refuse,VERB
move,VERB
pressed,VERB
against,ADP
care,NOUN
long,ADV
takes,VERB
comes,VERB
rise,VERB
thing,NOUN
happened,VERB
bar,NOUN
ai,VERB
take,VERB
read,VERB
magazines,NOUN
said,VERB
couldn,VERB
stuck,VERB
town,NOUN
phone,NOUN
finally,ADV
alone,ADV
moments,NOUN
sweetest,ADJ
kisses,NOUN
weakness,NOUN
busy,ADJ
lets,NOUN
slow,ADJ
minute,NOUN
goes,VERB
fast,ADV
feelin,ADJ
last,ADJ
verse,NOUN
2,NUM
few,ADJ
girl,NOUN
happening,VERB
laughter,NOUN
follow,VERB
after,ADP
chance,NOUN
steal,VERB
delicious,ADJ
miss,VERB
tonight,NOUN
bridge,NOUN
callin,NOUN
cries,VERB
goodbye,NOUN
breath,NOUN
skin,NOUN
cherish,VERB
taste,VERB
far,ADV
good,ADJ
desire,NOUN
sweet,ADJ
honey,NOUN
bumped,VERB
yo,INTJ
head,NOUN
enough,ADV
sense,NOUN
hate,VERB
home,ADV
kids,NOUN
dog,NOUN
check,VERB
credentials,NOUN
